"","celltype","sample","percentage","group"
"1","interstitial Cells","control_isolated",0.640044651918003,"control"
"2","Proliferating","control_isolated",0.120458696975847,"control"
"3","Neuron","control_isolated",0.0935660645423178,"control"
"4","Melanoma","control_isolated",0.0307489344428658,"control"
"5","Nephron","control_isolated",0.0134970570326771,"control"
"6","Distal Nephron","control_isolated",0.0561193423990258,"control"
"7","Neuron Progenitor","control_isolated",0.0202963263649279,"control"
"8","Podocyte","control_isolated",0.010148163182464,"control"
"9","Muscle","control_isolated",0.00395778364116095,"control"
"10","Proximal Convoluted Tubule","control_isolated",0.0094377917596915,"control"
"11","Endothelial cell","control_isolated",0.00172518774101888,"control"
"12","interstitial Cells","patient_isolated",0.547771650022358,"patient"
"13","Proliferating","patient_isolated",0.104784617677746,"patient"
"14","Neuron","patient_isolated",0.0763153972276047,"patient"
"15","Melanoma","patient_isolated",0.0743777015948726,"patient"
"16","Nephron","patient_isolated",0.0602176181249068,"patient"
"17","Distal Nephron","patient_isolated",0.0642420629005813,"patient"
"18","Neuron Progenitor","patient_isolated",0.0107318527351319,"patient"
"19","Podocyte","patient_isolated",0.0503800864510359,"patient"
"20","Muscle","patient_isolated",0.00447160530630496,"patient"
"21","Proximal Convoluted Tubule","patient_isolated",0.00491876583693546,"patient"
"22","Endothelial cell","patient_isolated",0.00178864212252199,"patient"
"23","interstitial Cells","patient_pooled_batch2",0.468368840461864,"patient"
"24","Proliferating","patient_pooled_batch2",0.134168157423971,"patient"
"25","Neuron","patient_pooled_batch2",0.11318913644495,"patient"
"26","Melanoma","patient_pooled_batch2",0.047162140185396,"patient"
"27","Nephron","patient_pooled_batch2",0.0146365262644332,"patient"
"28","Distal Nephron","patient_pooled_batch2",0.0374044560091072,"patient"
"29","Neuron Progenitor","patient_pooled_batch2",0.0818019190112213,"patient"
"30","Podocyte","patient_pooled_batch2",0.0377297121483168,"patient"
"31","Muscle","patient_pooled_batch2",0.0557814278744511,"patient"
"32","Proximal Convoluted Tubule","patient_pooled_batch2",0.00422832980972516,"patient"
"33","Endothelial cell","patient_pooled_batch2",0.00552935436656367,"patient"
"34","interstitial Cells","control_pooled_batch2",0.628062360801782,"control"
"35","Proliferating","control_pooled_batch2",0.106904231625835,"control"
"36","Neuron","control_pooled_batch2",0.138084632516704,"control"
"37","Melanoma","control_pooled_batch2",0.0133630289532294,"control"
"38","Nephron","control_pooled_batch2",0.0022271714922049,"control"
"39","Distal Nephron","control_pooled_batch2",0.0111358574610245,"control"
"40","Neuron Progenitor","control_pooled_batch2",0.0734966592427617,"control"
"41","Podocyte","control_pooled_batch2",0,"control"
"42","Muscle","control_pooled_batch2",0.0267260579064588,"control"
"43","Proximal Convoluted Tubule","control_pooled_batch2",0,"control"
"44","Endothelial cell","control_pooled_batch2",0,"control"
"45","interstitial Cells","patient_pooled_batch1",0.525681492109039,"patient"
"46","Proliferating","patient_pooled_batch1",0.140172166427547,"patient"
"47","Neuron","patient_pooled_batch1",0.0757532281205165,"patient"
"48","Melanoma","patient_pooled_batch1",0.0563845050215208,"patient"
"49","Nephron","patient_pooled_batch1",0.0236728837876614,"patient"
"50","Distal Nephron","patient_pooled_batch1",0.0374461979913917,"patient"
"51","Neuron Progenitor","patient_pooled_batch1",0.0173601147776184,"patient"
"52","Podocyte","patient_pooled_batch1",0.0856527977044476,"patient"
"53","Muscle","patient_pooled_batch1",0.00416068866571019,"patient"
"54","Proximal Convoluted Tubule","patient_pooled_batch1",0.0149210903873745,"patient"
"55","Endothelial cell","patient_pooled_batch1",0.0187948350071736,"patient"
"56","interstitial Cells","control_pooled_batch1",0.650306748466258,"control"
"57","Proliferating","control_pooled_batch1",0.196319018404908,"control"
"58","Neuron","control_pooled_batch1",0.0613496932515337,"control"
"59","Melanoma","control_pooled_batch1",0.0306748466257669,"control"
"60","Nephron","control_pooled_batch1",0,"control"
"61","Distal Nephron","control_pooled_batch1",0.0184049079754601,"control"
"62","Neuron Progenitor","control_pooled_batch1",0.00613496932515337,"control"
"63","Podocyte","control_pooled_batch1",0.0245398773006135,"control"
"64","Muscle","control_pooled_batch1",0.00613496932515337,"control"
"65","Proximal Convoluted Tubule","control_pooled_batch1",0.00613496932515337,"control"
"66","Endothelial cell","control_pooled_batch1",0,"control"
